Isolate,Replicate,Substrate,Absorbance_540nm,Glucose_mM,Protein_mg_mL,Activity_U_mL,Specific_Activity_U_mg,Temperature_C,pH
TF-001,1,CMC,0.845,10.15,0.97,84.6,87.2,35,6.5
TF-001,2,CMC,0.832,9.98,0.97,83.2,85.8,35,6.5
TF-001,3,CMC,0.851,10.22,0.97,85.1,87.7,35,6.5
TF-002,1,CMC,0.623,7.45,0.96,62.1,64.7,37,7.0
TF-002,2,CMC,0.618,7.39,0.96,61.6,64.2,37,7.0
TF-002,3,CMC,0.634,7.58,0.96,63.2,65.8,37,7.0
TF-003,1,CMC,0.468,5.57,0.97,46.4,47.8,37,6.8
TF-003,2,CMC,0.452,5.38,0.97,44.8,46.2,37,6.8
TF-003,3,CMC,0.459,5.46,0.97,45.5,46.9,37,6.8
TF-004,1,CMC,0.384,4.55,0.94,37.9,40.3,55,7.0
TF-004,2,CMC,0.362,4.28,0.94,35.7,38.0,55,7.0
TF-004,3,CMC,0.371,4.39,0.94,36.6,38.9,55,7.0
TF-005,1,CMC,0.312,3.67,0.95,30.6,32.2,55,6.5
TF-005,2,CMC,0.298,3.50,0.95,29.2,30.7,55,6.5
TF-005,3,CMC,0.305,3.58,0.95,29.9,31.5,55,6.5
TF-006,1,CMC,0.561,6.70,0.97,55.8,57.5,37,7.0
TF-006,2,CMC,0.548,6.54,0.97,54.5,56.2,37,7.0
TF-006,3,CMC,0.555,6.62,0.97,55.2,56.9,37,7.0
TF-007,1,CMC,0.702,8.40,0.96,70.0,72.9,37,6.8
TF-007,2,CMC,0.689,8.24,0.96,68.7,71.6,37,6.8
TF-007,3,CMC,0.698,8.35,0.96,69.6,72.5,37,6.8
